pl_bmassj,objectid,pl_name
9.51,3.12506,OGLE-2013-BLG-0911L b
0.00522,3.11695,OGLE-2013-BLG-0341L B b
0.017,3.11407,OGLE-2005-BLG-390L b
0.29,3.12069,OGLE-2013-BLG-0132L b
1.47,3.19686,KMT-2021-BLG-1547L b
0.03524,3.18263,KMT-2021-BLG-0171L b
4.8,3.12422,OGLE-2018-BLG-0740L b
2.56,3.12791,KMT-2019-BLG-1715L b
29.0,3.19695,KMT-2018-BLG-0885L b
0.14,3.1883,OGLE-2018-BLG-0298L b
0.19278,3.18737,KMT-2021-BLG-1372L b
0.02014,3.18732,OGLE-2018-BLG-0977L b
0.38,3.1996,OGLE-2016-BLG-1598L b
0.04279,3.19912,KMT-2023-BLG-1431L b
3.43,3.18713,OGLE-2019-BLG-0468L b
0.67,3.12603,OGLE-2018-BLG-1269L b
4.35,3.19913,OGLE-2014-BLG-0221L b
0.047,3.19962,MOA-2016-BLG-526L b
1.45,3.18827,KMT-2018-BLG-0030L b
1.26,3.18801,KMT-2021-BLG-0909L b
10.22,3.18714,OGLE-2019-BLG-0468L c
2.63,3.12616,KMT-2016-BLG-2397L b
0.91,3.18832,OGLE-2018-BLG-1119L b
0.12,3.18469,KMT-2021-BLG-1554L b
0.97,3.19003,OGLE-2018-BLG-1647L b
0.041,3.19823,KMT-2023-BLG-0416L b
0.63,3.19824,KMT-2023-BLG-1454L b
2.59,3.19961,OGLE-2016-BLG-1800L b
0.89,3.19005,OGLE-2018-BLG-0932L b
0.0152,3.19319,MOA-2022-BLG-249L b
0.00827,3.19964,KMT-2023-BLG-1866L b
3.26,3.18262,OGLE-2019-BLG-0362L b
0.71,3.18734,OGLE-2016-BLG-1093L b
2.11,3.18829,KMT-2018-BLG-0247L b
21.0,3.19697,KMT-2019-BLG-0335L b
0.23,3.18828,KMT-2018-BLG-0087L b
1.62,3.1981,OGLE-2017-BLG-0640L b
3.283,3.12303,KMT-2016-BLG-1107L b
0.0239,3.12536,KMT-2018-BLG-0029L b
