pl_bmassj,objectid,pl_name,mass_in_kg
0.95,3.19004,OGLE-2018-BLG-1367L b,1.8030999999999998e+27
11.28,3.12618,OGLE-2017-BLG-1375L b,2.140944e+28
0.00302,3.13175,KMT-2020-BLG-0414L b,5.73196e+24
15.4,3.13176,KMT-2020-BLG-0414L c,2.9229199999999998e+28
0.4,3.19853,MOA-2022-BLG-563L b,7.592e+26
0.124,3.19854,KMT-2023-BLG-0469L b,2.3535199999999998e+26
0.26,3.18784,OGLE-2018-BLG-0799L b,4.9348e+26
0.01,3.11398,MOA-2007-BLG-192L b,1.898e+25
4.1,3.11631,MOA-2008-BLG-379L b,7.781799999999999e+27
11.0,3.11578,MOA-2010-BLG-073L b,2.0878e+28
0.09,3.11871,MOA-2011-BLG-028L b,1.7082e+26
2.6,3.11411,OGLE-2003-BLG-235L b,4.9348e+27
0.27,3.11409,OGLE-2006-BLG-109L c,5.1246e+26
0.053,3.11766,MOA-2011-BLG-262L b,1.00594e+26
0.212,3.11402,MOA-2009-BLG-319L b,4.02376e+26
0.6,3.12464,MOA-bin-29 b,1.1388e+27
0.0444,3.11406,OGLE-2005-BLG-169L b,8.42712e+25
2.73,3.11639,OGLE-2012-BLG-0406L b,5.181539999999999e+27
0.11,3.11947,OGLE-2012-BLG-0950L b,2.0878e+26
4.1,3.12051,OGLE-2016-BLG-0263L b,7.781799999999999e+27
13.38,3.12091,OGLE-2016-BLG-1190L b,2.539524e+28
0.401,3.12151,OGLE-2017-BLG-0373L b,7.61098e+26
0.0125,3.12533,OGLE-2018-BLG-0677L b,2.3725e+25
0.19,3.12231,OGLE-2011-BLG-0173L b,3.6062e+26
0.53,3.11587,OGLE-2011-BLG-0251L b,1.0059400000000001e+27
0.04383,3.12393,OGLE-2018-BLG-0596L b,8.318934e+25
0.51,3.12617,OGLE-2017-BLG-0604L b,9.6798e+26
4.8,3.11625,MOA-2011-BLG-293L b,9.1104e+27
0.75,3.12145,OGLE-2017-BLG-1522L b,1.4235e+27
0.39,3.118,OGLE-2012-BLG-0563L b,7.4022e+26
2.7,3.12236,OGLE-2013-BLG-1761L b,5.1246e+27
0.43,3.1243,OGLE-2016-BLG-1067L b,8.1614e+26
0.433,3.12534,OGLE-2015-BLG-1771L b,8.218339999999999e+26
2.8,3.12428,OGLE-2018-BLG-1011L c,5.314399999999999e+27
0.12016,3.188,KMT-2021-BLG-0712L b,2.2806368e+26
0.88,3.19808,KMT-2021-BLG-1150L b,1.67024e+27
1.15,3.18831,KMT-2018-BLG-2602L b,2.1826999999999998e+27
1.81,3.19193,KMT-2019-BLG-0298L b,3.43538e+27
0.01394,3.12155,OGLE-2017-BLG-1434L b,2.645812e+25
0.046,3.18466,OGLE-2017-BLG-1691L b,8.7308e+25
0.21,3.18677,KMT-2021-BLG-0240L b,3.9857999999999995e+26
0.1,3.18467,KMT-2021-BLG-0320L b,1.898e+26
0.19,3.12604,KMT-2018-BLG-0748L b,3.6062e+26
0.03234,3.12605,KMT-2019-BLG-0842L b,6.138132e+25
0.14473,3.18264,KMT-2021-BLG-1689L b,2.7469753999999997e+26
3.4,3.11916,OGLE-2015-BLG-0954L b,6.453199999999999e+27
0.0045,3.12024,OGLE-2016-BLG-1195L b,8.540999999999999e+24
4.4,3.12535,OGLE-2018-BLG-1700L b,8.351200000000001e+27
5.9,3.19811,OGLE-2017-BLG-1275L b,1.1198200000000001e+28
0.14473,3.19212,MOA-2020-BLG-208L b,2.7469753999999997e+26
2.6,3.11403,MOA-2009-BLG-387L b,4.9348e+27
0.0102,3.1189,MOA-2013-BLG-605L b,1.9359600000000002e+25
0.86,3.11581,OGLE-2012-BLG-0026L c,1.63228e+27
0.56,3.11948,OGLE-2014-BLG-1760L b,1.06288e+27
0.72,3.11941,OGLE-2015-BLG-0051L b,1.36656e+27
0.01114,3.1872,KMT-2017-BLG-1194L b,2.114372e+25
0.01284,3.18724,KMT-2019-BLG-1367L b,2.437032e+25
0.01469,3.18722,KMT-2019-BLG-1806L b,2.7881619999999998e+25
4.42,3.12537,KMT-2018-BLG-1292L b,8.389159999999999e+27
2.2,3.12507,KMT-2016-BLG-1836L b,4.1756000000000004e+27
0.174,3.12174,OGLE-2014-BLG-1722L b,3.3025199999999996e+26
1.28,3.12136,UKIRT-2017-BLG-001L b,2.42944e+27
0.029,3.11765,MOA-2010-BLG-328L b,5.5042e+25
0.32,3.128,OGLE-2018-BLG-0567L b,6.0736e+26
0.0563,3.12395,OGLE-2015-BLG-1670L b,1.068574e+26
0.54,3.12138,MOA-2010-BLG-117L b,1.02492e+27
2.8,3.12025,MOA-2016-BLG-227L b,5.314399999999999e+27
5.52,3.18644,KMT-2021-BLG-0119L b,1.047696e+28
0.11,3.18645,KMT-2021-BLG-0192L b,2.0878e+26
0.07,3.18646,KMT-2021-BLG-2294L b,1.3286e+26
0.06,3.1141,OGLE-2007-BLG-368L b,1.1388e+26
2.0,3.1231,KMT-2017-BLG-1038L b,3.796e+27
0.727,3.11408,OGLE-2006-BLG-109L b,1.3798459999999998e+27
0.167,3.12538,OGLE-2012-BLG-0838L b,3.16966e+26
4.57,3.12238,KMT-2016-BLG-1820L b,8.673860000000001e+27
5.53,3.12685,OGLE-2017-BLG-1049L b,1.049594e+28
18.0,3.12429,KMT-2016-BLG-0212L b,3.4164e+28
7.0,3.12241,KMT-2016-BLG-1397L b,1.3286e+28
0.64,3.1207,OGLE-2013-BLG-1721L b,1.21472e+27
3.7,3.11675,MOA-bin-1L b,7.0226e+27
13.0,3.11733,OGLE-2013-BLG-0102L b,2.4674e+28
1.5,3.11516,MOA-2010-BLG-477L b,2.847e+27
4.6,3.11691,OGLE-2008-BLG-355L b,8.730799999999999e+27
2.74,3.12623,MOA-2013-BLG-220L b,5.20052e+27
0.0327,3.11401,MOA-2009-BLG-266L b,6.20646e+25
1.8,3.12427,OGLE-2018-BLG-1011L b,3.4164e+27
0.77,3.12684,OGLE-2018-BLG-1428L b,1.46146e+27
2.54,3.12449,OGLE-2015-BLG-1649L b,4.82092e+27
0.145,3.1158,OGLE-2012-BLG-0026L b,2.7520999999999998e+26
3.68,3.11979,OGLE-2014-BLG-0676L b,6.984640000000001e+27
0.01633,3.18723,KMT-2017-BLG-1003L b,3.099434e+25
0.45,3.18738,KMT-2021-BLG-0748L b,8.541e+26
0.28,3.18741,KMT-2019-BLG-2974L b,5.3144e+26
1.85,3.11628,OGLE-2012-BLG-0358L b,3.5113e+27
0.028,3.12171,OGLE-2017-BLG-0482L b,5.3144e+25
0.27,3.11901,MOA-2010-BLG-353L b,5.1246e+26
0.263,3.12175,OGLE-2014-BLG-1722L c,4.99174e+26
2.22,3.1277,KMT-2018-BLG-1976L b,4.21356e+27
1.09,3.12771,KMT-2018-BLG-1996L b,2.06882e+27
14.2,3.12772,OGLE-2019-BLG-0954L b,2.69516e+28
7.7,3.12776,KMT-2019-BLG-0371L b,1.4614599999999999e+28
0.01906,3.12792,KMT-2018-BLG-1025L b,3.617588e+25
0.02643,3.12816,OGLE-2018-BLG-1185L b,5.016413999999999e+25
0.06293,3.12134,TCP J05074264+2447555 b,1.1944114e+26
0.25171,3.11937,OGLE-2007-BLG-349L AB c,4.7774558e+26
0.41,3.12541,OGLE-2017-BLG-0406L b,7.7818e+26
18.0,3.18647,MOA-2019-BLG-008L b,3.4164e+28
0.00787,3.13045,OGLE-2019-BLG-0960L b,1.493726e+25
0.00884,3.1308,KMT-2021-BLG-0912L b,1.677832e+25
2.09,3.13077,KMT-2017-BLG-2509L b,3.96682e+27
3.02,3.13078,OGLE-2017-BLG-1099L b,5.73196e+27
6.22,3.13079,OGLE-2019-BLG-0299L b,1.180556e+28
0.01749,3.13081,KMT-2018-BLG-1988L b,3.3196019999999995e+25
3.8,3.11405,OGLE-2005-BLG-071L b,7.212399999999999e+27
0.03555,3.18693,MOA-2020-BLG-135L b,6.747389999999999e+25
0.45307,3.1869,OGLE-2006-BLG-284L A b,8.599268599999999e+26
0.22,3.18691,KMT-2021-BLG-1077L b,4.1756e+26
1.7,3.11399,MOA-2007-BLG-400L b,3.2265999999999997e+27
0.01658,3.18725,OGLE-2017-BLG-1806L b,3.146884e+25
0.11673,3.18731,OGLE-2019-BLG-1492L b,2.2155354e+26
0.0073,3.18726,KMT-2016-BLG-1105L b,1.3855399999999999e+25
0.04877,3.18733,KMT-2019-BLG-0953L b,9.256546e+25
0.05994,3.18736,KMT-2021-BLG-1253L b,1.1376612e+26
0.02895,3.18728,KMT-2019-BLG-0253L b,5.49471e+25
0.05129,3.18729,OGLE-2018-BLG-0506L b,9.734842e+25
0.06324,3.1873,OGLE-2018-BLG-0516L b,1.2002952000000001e+26
0.0078,3.18727,OGLE-2019-BLG-1053L b,1.48044e+25
0.19,3.18739,KMT-2019-BLG-1042L b,3.6062e+26
0.01759,3.18721,KMT-2017-BLG-0428L b,3.338582e+25
4.05,3.1874,KMT-2019-BLG-1552L b,7.6869e+27
0.01432,3.18735,KMT-2021-BLG-1391L b,2.717936e+25
1.16,3.19195,KMT-2019-BLG-2783L b,2.2016799999999998e+27
7.12,3.19196,OGLE-2019-BLG-0249L b,1.351376e+28
3.34,3.19197,OGLE-2019-BLG-0679L b,6.33932e+27
0.094,3.19194,KMT-2019-BLG-1216L b,1.7841199999999998e+26
0.04845,3.19192,KMT-2022-BLG-0440L b,9.19581e+25
1.747,3.19689,OGLE-2019-BLG-1180L b,3.315806e+27
1.08,3.19825,KMT-2023-BLG-1642L b,2.04984e+27
3.8,3.19812,OGLE-2017-BLG-1237L b,7.212399999999999e+27
